timestamp,pos_x,pos_y,heading
1.780000,5.471520,3.665208,1.186097
1.790000,5.486117,3.709357,1.194147
1.800000,5.510822,3.740957,1.198808
1.810000,5.547625,3.767254,1.200789
1.820000,5.580913,3.775295,1.200972
1.830000,5.599311,3.820123,1.208331
1.840000,5.614360,3.851528,1.214459
1.850000,5.642020,3.883158,1.218550
1.860000,5.641694,3.929674,1.228952
1.870000,5.658631,3.980212,1.236980
1.880000,5.648127,4.045208,1.251056
1.890000,5.666853,4.072368,1.255818
1.900000,5.697828,4.121006,1.261120
1.910000,5.692661,4.160587,1.271086
1.920000,5.686715,4.203517,1.281477
1.930000,5.691400,4.246003,1.290040
1.940000,5.714085,4.298441,1.296777
1.950000,5.710292,4.337253,1.306155
1.960000,5.721858,4.351093,1.310346
1.970000,5.714271,4.390002,1.320229
1.980000,5.728426,4.417304,1.325394
1.990000,5.765142,4.447963,1.327332
2.000000,5.775230,4.486245,1.334237
2.010000,5.797133,4.510968,1.337883
2.020000,5.789682,4.552707,1.347806
2.030000,5.802606,4.607552,1.355735
2.040000,5.808374,4.655541,1.364050
2.050000,5.814762,4.681752,1.370146
2.060000,5.815259,4.726727,1.378877
2.070000,5.837330,4.763001,1.383388
2.080000,5.838158,4.808988,1.392048
2.090000,5.896658,4.839802,1.390355
2.100000,5.910808,4.895799,1.397758
2.110000,5.925741,4.914108,1.401736
2.120000,5.917933,4.946854,1.410444
2.130000,5.921998,4.990811,1.418204
2.140000,5.932426,5.019515,1.423681
2.150000,5.918298,5.076659,1.435193
2.160000,5.925407,5.120148,1.442269
2.170000,5.916161,5.180936,1.453142
2.180000,5.928148,5.235483,1.460195
2.190000,5.934999,5.278087,1.467070
2.200000,5.942091,5.330584,1.474593
2.210000,5.947451,5.373903,1.481649
2.220000,5.931520,5.428327,1.492674
2.230000,5.904159,5.470821,1.504499
2.240000,5.879040,5.505702,1.515376
2.250000,5.876803,5.544364,1.522994
2.260000,5.874056,5.589489,1.531069
2.270000,5.889227,5.652544,1.537562
2.280000,5.912225,5.691970,1.541313
2.290000,5.909301,5.732013,1.548963
2.300000,5.906815,5.751429,1.555239
2.310000,5.896547,5.791884,1.563922
2.320000,5.880984,5.839601,1.573763
2.330000,5.882379,5.894043,1.581402
2.340000,5.859744,5.942802,1.592218
2.350000,5.843666,5.973784,1.601006
2.360000,5.846924,6.012167,1.607294
2.370000,5.853368,6.048213,1.612958
2.380000,5.857270,6.089084,1.619217
2.390000,5.851577,6.144514,1.627578
2.400000,5.837988,6.201781,1.637118
2.410000,5.848765,6.249581,1.642568
2.420000,5.821933,6.277011,1.652513
2.430000,5.846727,6.328892,1.656012
2.440000,5.861834,6.351342,1.659589
2.450000,5.842167,6.403096,1.669472
2.460000,5.809337,6.460008,1.681399
2.470000,5.805665,6.501885,1.688413
2.480000,5.794879,6.551622,1.696721
2.490000,5.781295,6.592953,1.705048
2.500000,5.772913,6.638447,1.698668
2.510000,5.781957,6.677818,1.689603
2.520000,5.787245,6.726538,1.681459
2.530000,5.793473,6.765187,1.672874
2.540000,5.809456,6.804403,1.662977
2.550000,5.806247,6.849546,1.656050
2.560000,5.781408,6.877821,1.651675
2.570000,5.764458,6.919866,1.646640
2.580000,5.760055,6.950049,1.639508
2.590000,5.759795,6.991480,1.632171
2.600000,5.755259,7.023860,1.625214
2.610000,5.763537,7.058281,1.616572
2.620000,5.788706,7.090925,1.605591
2.630000,5.769264,7.136088,1.601195
2.640000,5.772102,7.175092,1.593576
2.650000,5.772961,7.210470,1.586182
2.660000,5.757630,7.254433,1.581268
2.670000,5.726436,7.325649,1.579204
2.680000,5.753881,7.365289,1.568369
2.690000,5.759811,7.389423,1.560173
2.700000,5.744696,7.413191,1.554879
2.710000,5.711818,7.443480,1.552164
2.720000,5.718494,7.477402,1.544196
2.730000,5.729999,7.512386,1.535649
2.740000,5.714572,7.566703,1.531178
2.750000,5.708306,7.602077,1.525098
2.760000,5.710008,7.638227,1.518003
2.770000,5.733405,7.701816,1.508619
2.780000,5.728466,7.758929,1.502913
2.790000,5.720669,7.793751,1.497167
2.800000,5.707151,7.844089,1.492507
2.810000,5.720943,7.881443,1.484023
2.820000,5.730398,7.940161,1.476566
2.830000,5.724385,8.000211,1.471192
2.840000,5.722409,8.046465,1.465055
2.850000,5.704200,8.091649,1.461033
2.860000,5.694267,8.125796,1.455746
2.870000,5.701422,8.162013,1.448316
2.880000,5.705380,8.201536,1.441397
2.890000,5.675061,8.242576,1.438937
2.900000,5.695775,8.280563,1.429896
2.910000,5.716468,8.328066,1.421084
2.920000,5.698267,8.375343,1.417259
2.930000,5.699774,8.408926,1.410700
2.940000,5.711442,8.448211,1.402993
2.950000,5.732932,8.494596,1.394220
2.960000,5.727733,8.547054,1.388956
2.970000,5.721913,8.592165,1.383659
2.980000,5.702737,8.638924,1.380079
2.990000,5.685349,8.651835,1.375667
3.000000,5.691710,8.690181,1.368788
3.010000,5.705377,8.727731,1.361025
3.020000,5.712749,8.778531,1.354323
3.030000,5.698372,8.808973,1.349948
3.040000,5.697766,8.867891,1.344430
3.050000,5.687068,8.903185,1.339727
3.060000,5.681018,8.937508,1.334454
3.070000,5.680453,8.956891,1.328252
3.080000,5.691003,9.001966,1.321221
3.090000,5.678586,9.061484,1.317274
3.100000,5.687553,9.097915,1.310321
3.110000,5.668459,9.110351,1.306293
3.120000,5.666326,9.139411,1.300572
3.130000,5.654366,9.194212,1.296554
3.140000,5.671008,9.243037,1.289036
3.150000,5.694035,9.278144,1.280524
3.160000,5.705193,9.315562,1.273503
3.170000,5.709013,9.347001,1.267254
3.180000,5.721632,9.385085,1.260138
3.190000,5.744538,9.399578,1.251356
3.200000,5.742389,9.450813,1.246315
3.210000,5.761290,9.491822,1.238631
3.220000,5.766756,9.535761,1.232605
3.230000,5.767944,9.569253,1.226869
3.240000,5.800710,9.592631,1.217297
3.250000,5.841666,9.617833,1.206875
3.260000,5.873109,9.651044,1.197777
3.270000,5.859524,9.684485,1.193859
3.280000,5.869359,9.702328,1.186924
3.290000,5.892741,9.722813,1.178543
3.300000,5.902366,9.747441,1.171849
3.310000,5.904122,9.787046,1.166427
3.320000,5.929530,9.842146,1.158757
3.330000,5.942594,9.869253,1.151812
3.340000,5.953055,9.930352,1.146040
3.350000,5.963130,9.964266,1.139649
3.360000,5.995738,10.016277,1.131260
3.370000,6.011701,10.060339,1.124545
3.380000,6.013026,10.089071,1.119062
3.390000,6.018131,10.132842,1.113585
3.400000,6.027077,10.162744,1.107334
3.410000,6.046031,10.220064,1.100773
3.420000,6.071855,10.267410,1.093227
3.430000,6.095449,10.304208,1.085662
3.440000,6.114635,10.346511,1.078765
3.450000,6.121483,10.371778,1.072729
3.460000,6.127965,10.389677,1.066533
3.470000,6.169003,10.420178,1.057051
3.480000,6.191103,10.473965,1.050323
3.490000,6.179305,10.495473,1.046231
3.500000,6.211942,10.528542,1.037818
3.510000,6.263457,10.572782,1.027813
3.520000,6.287711,10.612187,1.020563
3.530000,6.324899,10.634037,1.011439
3.540000,6.344529,10.669524,1.004617
3.550000,6.363927,10.699458,0.997666
3.560000,6.393110,10.731608,0.989808
3.570000,6.425221,10.771864,0.981956
3.580000,6.447217,10.801945,0.974832
3.590000,6.479727,10.820288,0.966263
3.600000,6.522789,10.854419,0.957206
3.610000,6.558355,10.861871,0.948013
3.620000,6.600682,10.904122,0.939411
3.630000,6.603028,10.943603,0.934762
3.640000,6.638117,10.988257,0.927047
3.650000,6.667322,11.017018,0.919372
3.660000,6.696033,11.060240,0.912318
3.670000,6.728646,11.092460,0.904499
3.680000,6.738494,11.121621,0.898832
3.690000,6.769588,11.144821,0.890875
3.700000,6.813245,11.162254,0.881502
3.710000,6.841358,11.191687,0.874147
3.720000,6.887961,11.230127,0.865397
3.730000,6.916276,11.271019,0.858550
3.740000,6.968650,11.306878,0.849229
3.750000,7.008405,11.329659,0.840621
3.760000,7.016935,11.349308,0.834880
3.770000,7.021463,11.388416,0.830344
3.780000,7.051882,11.420848,0.823106
3.790000,7.070392,11.461158,0.817350
3.800000,7.079522,11.513633,0.813018
3.810000,7.100817,11.557644,0.807208
3.820000,7.116771,11.593943,0.801575
3.830000,7.144870,11.615435,0.794186
3.840000,7.176602,11.647953,0.786989
3.850000,7.204604,11.690315,0.780609
3.860000,7.236279,11.693904,0.772147
3.870000,7.248066,11.735888,0.767279
3.880000,7.283933,11.755857,0.759240
3.890000,7.302104,11.782248,0.753113
3.900000,7.314483,11.800793,0.747145
3.910000,7.312510,11.845567,0.743716
3.920000,7.341367,11.866395,0.736424
3.930000,7.372678,11.887033,0.728933
3.940000,7.430806,11.908059,0.719154
3.950000,7.462045,11.934140,0.712002
3.960000,7.500498,11.965008,0.704496
3.970000,7.536540,11.984401,0.696650
3.980000,7.544731,12.016108,0.691834
3.990000,7.569214,12.049422,0.685730
4.000000,7.577643,12.080492,0.680886
4.010000,7.608750,12.112612,0.674206
4.020000,7.654422,12.143513,0.666275
4.030000,7.701108,12.164124,0.657753
4.040000,7.728539,12.189213,0.651095
4.050000,7.775890,12.201018,0.642111
4.060000,7.828505,12.198589,0.631961
4.070000,7.860140,12.241849,0.626046
4.080000,7.892411,12.248942,0.618117
4.090000,7.939845,12.257490,0.609075
4.100000,7.964155,12.290023,0.603251
4.110000,7.994660,12.324203,0.597050
4.120000,8.042485,12.335004,0.588187
4.130000,8.085112,12.345830,0.579766
