timestamp,pos_x,pos_y
82931,4477432.811496,589595.425152
83033,4477432.479546,589595.340994
83133,4477432.134928,589595.237310
83236,4477431.799452,589595.136824
83336,4477431.463166,589595.033634
83438,4477431.131149,589594.925304
83538,4477430.802814,589594.837117
83640,4477430.461804,589594.756630
83741,4477430.110434,589594.663883
83841,4477429.756312,589594.573121
83942,4477429.417983,589594.484714
84043,4477429.052069,589594.373396
84144,4477428.684938,589594.262347
84246,4477428.314834,589594.162700
84346,4477427.936172,589594.071467
84448,4477427.582421,589593.956017
84548,4477427.246257,589593.835183
84650,4477426.899852,589593.721341
84751,4477426.543222,589593.606520
84851,4477426.198114,589593.489694
84952,4477425.833612,589593.384975
85053,4477425.481208,589593.280027
85154,4477425.124257,589593.147651
85256,4477424.783826,589593.032042
85356,4477424.431978,589592.908681
85458,4477424.093035,589592.796785
85558,4477423.751820,589592.680592
85660,4477423.388445,589592.567971
85761,4477423.023331,589592.458594
85861,4477422.660603,589592.335109
85962,4477422.297500,589592.208150
86063,4477421.941169,589592.090526
86165,4477421.579600,589591.980428
86266,4477421.225811,589591.861755
86366,4477420.865675,589591.750877
86468,4477420.518033,589591.626362
86569,4477420.171927,589591.509633
86670,4477419.821152,589591.383121
86771,4477419.458959,589591.267263
86871,4477419.090810,589591.164029
86972,4477418.720149,589591.073464
87073,4477418.345938,589590.964535
87174,4477417.986514,589590.857465
87276,4477417.622098,589590.741379
87376,4477417.252279,589590.628411
87478,4477416.856166,589590.535436
87578,4477416.469498,589590.452442
87680,4477416.083414,589590.362570
87781,4477415.725704,589590.240975
87886,4477415.003820,589590.042139
87982,4477414.634935,589589.914401
88083,4477414.268621,589589.834556
88184,4477413.889302,589589.753425
88286,4477413.517679,589589.656679
88386,4477413.158768,589589.555371
88488,4477412.802292,589589.444109
88590,4477412.453851,589589.327068
88691,4477412.087625,589589.236026
88897,4477411.371474,589589.043143
88993,4477411.015252,589588.934508
89094,4477410.673524,589588.821882
89196,4477410.342607,589588.703444
89296,4477410.001847,589588.597423
89398,4477409.650471,589588.485592
89498,4477409.321632,589588.392405
89600,4477408.983087,589588.313755
89701,4477408.652457,589588.191497
89801,4477408.324214,589588.092451
89903,4477407.976964,589587.972851
90003,4477407.627135,589587.860492
90104,4477407.283983,589587.749410
90206,4477406.937408,589587.649141
90306,4477406.595628,589587.550681
90407,4477406.280093,589587.418827
90509,4477405.963465,589587.288343
90610,4477405.636935,589587.165442
90711,4477405.311268,589587.058986
90811,4477404.982830,589586.962148
90912,4477404.649811,589586.881480
91013,4477404.318015,589586.773061
91115,4477403.998726,589586.661524
91216,4477403.687507,589586.537846
91316,4477403.372063,589586.432116
91418,4477403.067836,589586.298939
91518,4477402.741591,589586.209114
91620,4477402.424826,589586.122908
91721,4477402.112001,589586.004169
91821,4477401.791595,589585.929203
91923,4477401.506916,589585.815301
