timestamp,pos_x,pos_y,acc
77670,4477377.799931,589570.550162,14.100000
77779,4477377.739558,589570.626121,14.100000
77880,4477377.671334,589570.667651,14.100000
77981,4477377.608787,589570.719630,14.100000
78082,4477377.561144,589570.783222,14.100000
78183,4477377.502309,589570.829983,14.100000
78284,4477377.447610,589570.879155,14.100000
78386,4477377.409401,589570.951880,14.100000
78487,4477377.357335,589571.007636,14.100000
78588,4477377.313393,589571.065076,14.100000
78689,4477377.268403,589571.118458,14.100000
78791,4477377.229165,589571.170074,14.100000
78892,4477377.205362,589571.222015,14.100000
78999,4477377.175769,589571.291073,14.100000
79099,4477377.129181,589571.340742,14.100000
79200,4477377.100880,589571.378656,14.100000
79303,4477377.069398,589571.428992,14.100000
79404,4477377.039428,589571.485078,14.100000
79508,4477377.014763,589571.539149,14.100000
79610,4477376.997308,589571.602041,14.100000
79710,4477376.964840,589571.681313,14.100000
79811,4477376.930923,589571.723026,14.100000
79913,4477376.923045,589571.741950,14.100000
80013,4477376.907221,589571.811269,14.100000
80120,4477376.889649,589571.864322,14.100000
80221,4477376.877175,589571.907391,14.100000
80322,4477376.861539,589571.936671,14.100000
80435,4477376.852565,589571.947551,14.100000
80540,4477376.826380,589571.976619,14.100000
80742,4477376.828191,589571.988811,14.100000
80840,4477376.823570,589571.983014,14.100000
80943,4477376.824157,589571.994966,14.100000
81044,4477376.822696,589572.002787,14.100000
81150,4477376.814316,589572.007553,14.100000
81251,4477376.815272,589572.013224,14.100000
81354,4477376.816606,589572.013378,14.100000
81455,4477376.812162,589572.013092,14.100000
81556,4477376.811518,589572.014966,14.100000
81662,4477376.809448,589572.008968,14.100000
81762,4477376.808676,589572.009401,14.100000
81867,4477376.808164,589572.012970,14.100000
81969,4477376.810686,589572.010395,14.100000
82074,4477376.811699,589572.011571,14.100000
82176,4477376.811019,589572.010391,14.100000
82276,4477376.812975,589572.006805,14.100000
82377,4477376.813336,589572.009176,14.100000
82479,4477376.814575,589572.010688,14.100000
82581,4477376.814726,589572.013994,14.100000
82682,4477376.810470,589572.020152,14.100000
82783,4477376.827744,589572.025714,14.100000
82887,4477376.822765,589572.036376,14.100000
82988,4477376.821905,589572.048006,14.100000
83090,4477376.823976,589572.063419,14.100000
83192,4477376.795918,589572.084451,14.100000
83294,4477376.788871,589572.098531,14.100000
83395,4477376.788751,589572.088523,14.100000
83496,4477376.785347,589572.082372,14.100000
83597,4477376.768624,589572.067219,14.700000
83708,4477376.774366,589572.046115,14.900000
83822,4477376.775845,589572.030490,14.100000
83924,4477376.761437,589572.013953,14.100000
84026,4477376.728956,589571.971507,14.100000
84127,4477376.708367,589571.948682,15.100000
84228,4477376.679256,589571.918834,17.000000
84331,4477376.654247,589571.897758,18.400000
84433,4477376.628251,589571.896203,20.100000
84544,4477376.558219,589571.870067,22.700000
84646,4477376.521826,589571.853199,23.300000
84751,4477376.465320,589571.909093,14.100000
84852,4477376.401700,589571.899251,14.100000
84954,4477376.356282,589571.898268,14.100000
85055,4477376.317744,589571.897032,14.100000
85157,4477376.271601,589571.891053,14.100000
85259,4477376.225317,589571.891946,14.100000
85361,4477376.190099,589571.889822,14.100000
85461,4477376.164218,589571.888690,14.100000
85562,4477376.131357,589571.888659,14.100000
85663,4477376.092035,589571.886839,14.100000
85764,4477376.067934,589571.904600,14.100000
85868,4477376.030062,589571.912602,14.100000
85970,4477376.014701,589571.909223,14.100000
86071,4477375.998050,589571.900092,14.100000
86176,4477375.991096,589571.894153,14.100000
86278,4477375.998620,589571.892027,14.100000
86379,4477375.996976,589571.893828,14.100000
86481,4477376.003969,589571.893744,14.100000
86581,4477375.999475,589571.898548,14.100000
86688,4477375.989383,589571.918008,14.100000
86788,4477375.995157,589571.908778,14.100000
86889,4477375.997918,589571.916888,14.100000
86990,4477376.002571,589571.925399,14.100000
87092,4477376.008611,589571.929144,14.100000
87192,4477376.018940,589571.948020,14.100000
87294,4477376.026314,589571.961249,14.100000
87395,4477376.029378,589571.985387,14.100000
87497,4477376.052786,589572.021155,14.100000
87598,4477376.066777,589572.077055,14.100000
87700,4477376.076850,589572.130287,14.100000
87800,4477376.101391,589572.186484,14.100000
87901,4477376.111473,589572.249725,14.100000
88002,4477376.138375,589572.289863,14.100000
88104,4477376.158347,589572.326097,14.100000
88206,4477376.176547,589572.353361,14.100000
88310,4477376.185174,589572.387780,14.100000
